reviewText,summary,unixReviewTime,helpful,unhelpful
Was good and okay book. I am not in to this kind of books but I was curiousAbout it,Seducer,1361664000,1,1
"Not too many indie writers have real talent to write but this author does.  Shes good.Problem is, all the dozens of typos and mistakes take away from the pleasure of reading a clean book.With this authors talent, she should spring for professional editing.If it had been edited properly, I would have given a higher rating.","Good story, but riddled with typos",1370304000,19,19
"This is a short story that is well-written but is very sad.  The married couple, Mel and Paul, have hit the lowest point in their marriage and try to talk things out the night after Paul tells Mel that he has put in a bid on the house that she wants that they couldn't afford before.  She has been hiding some things from Paul, as he has hidden a few secrets from Mel.As the story progresses it seems to get darker and darker in tone and the ending is quite surprising.  I didn't expect it to be what it is.  I found it to be very depressing and not hopeful at all.  That is not to say that the story isn't put together well, but I just can't find it within me to like it that much.  I thought the end was spooky.I gave it two stars just based on my own reaction to it, but I'm sure that others might see it entirely differently.",One Final Night,1319068800,3,3
"Safe Harbor by Tymber DaltonVery Good story.  I really enjoyed this book and the relationship between Clarisse, Mac and Sully. I especially loved `The Dom Dog' and his new chew toy. LOL  This story was well written and a standalone.There was plenty of background information on all the characters so I knew their past and what they went through that made them the people they are today.  The liked the `boat rules' switch between Mac and Sully. This made Mac topping Clarisse easier to see happening in my mind.I liked the ending and that fact that they all took each others names and that Sully took that last step with Mac;)  Cause fair is fair!The title slave is not easy for me to understand but I don't have to understand it to appreciate this story.  Pet was easier because it sounds like an endearment to me.""What is in a name....etc"" except that I like my name.  It distinguishes me and acknowledges me as important to that person in a room full of others. Just saying...",Very Good,1353196800,1,1
"A girl`s mother enters her into a lottery to be a bridesmaid (1 of 4) to a wealthy heiress.  They go through a lot of turmoil and stress to get to the wedding portion, but in between she meets an actor (brother of the bride -Jake Hall) that she falls head over heels for and turns the story into a fantasy of her own.Strange things happen in the workplace and also with her room mate.",What a lottery,1363824000,0,0
"True the meeting of the lead characters is far fetched, and the dialogue is somewhat mundane, but the biggest annoyance is how the book just ends. I actually thought that the whole book didnt download! Not a page turner but an ok read.  Not much thought process is required with this one.  Can only wonder if the next installment picks up the pace.",on a road to nowhere,1312502400,2,2
"This is the second book in this series that I've read of Bob Mayer's, and again he has impressed me.  He is a gifted writer who always surprises the reader throughout the novel.  I will read the rest of his series.",Non-Stop Action with Surprises at Every Turn,1313971200,1,1
5 stars  This book continues the story of the war between Stills and Protaria.  Andrea  has found love and purpose  however  the  human females are still  missing. Mal Ton resques  one and finds the  imposable  .,Shifter book 2 by Aubrey ross,1395532800,0,0
"Icy Heat is was a surprisingly entertaining and enjoyable futuristic romance that was well written and kept the reader turning the page.Aidan has to save her brother from himself once again when he lands himself in trouble with a gambling debt, promising herself this will be the last time she has two choices to save her brother. Steal a trinket or become a mistress, she decides to try her hand at stealing the trinket knowing she could never be someones mistress. But when she enlists War to help her she becomes to think it was a mistake because she's beginning to have feelings for him and regrets for using him.War was disfigured when he was a child, since then he has always warn a mask to hide his face, but when Aidan asks him to take her to a party he will have to take her as a date. Meaning she has to see his face, and when she doesnt react he doesnt know if she's faking or not. But when he learns of her betrayal he has to determine if the feelings he has for her are enough, because very soon they are going to be put to the test.Icy Heat is an entertaining short story with enough heat to keep your heart racing and enough suspense to keep you turning the page.ash",believable futuristic romance,1270425600,0,0
I loved itG by f reed Dr Ford yt? ft change vBulletin bc ggtEmily Dickinson typically the y try Tyrrell reed were the truth about error in a few days later tutu ret yes itTyre and a few days later thisRd party unity and a few days later this year old girl yes Highbury g v Chan vBulletin version b chin :(chef th h Chan :(h :(h ft unity f2f f2f f2f Dr u try T9 the ct f2f for r,Dr Terry rd HD tree f Dr Ford dc Ford fyrugu ft gifted guy this chef of duff to be r cc EMO yt? y,1390953600,0,0
I think that this is a good but very short story about a mysterious place where very few people know about.,Good story,1367712000,0,0
"Usually, I love books of all kinds.This one, I couldn't even get through the sample it was so tedious.p.s. my favorite book is Deed of  Paksenarrion, which takes me a day or two to read.  I'd read that ten times before I'd look at this sample again.",teeeeeeedious,1296345600,6,6
"LOL.. I loved when Jace found out that Kyle was actually Kayla. Great scene. Wonderful book. I've read all this author's books and loved every one of them. She has such a great way with words and storylines. HOWEVER, she will have to write a little faster. Can't wait for her next 100 books.",Awesome..,1361404800,0,0
This delightful sleuth is so period and so cool. thorndyke is both a medical doctor and a lawyer. And a forensic scientist. Put this combination in the early 1900s and you have lots of interesting reading.,discover a forgotten sleuth,1254096000,14,14
Not liking this and will probably never use it. Have to go through a million pages in order to get to where I want. Hard to maneuver through...,LDS hymns,1331251200,0,0
"Re-discovering all of Frank L Baum's 'Oz' books has been a hoot.  I read as many as I could get my hands on as a child; and so decided to check this one out on my new Kindel.  It's a lot of fun.  But no illustrations -- which are part of the fun of reading those books -- so that was a bit of a disappointment --  some misspelling and some dropped words from page to new page - but not so much that you cannot figure out what was supposed to be there.  I'd buy it in a hardcopy rather than Kindel edition, just to explore the illustrations (historical and fun in and of themselves).",lots of fun,1363910400,0,0
He kidnapped who he thought was the kid sister in an effort to keep his brother from marrying the kid sister.,Mistaken identity,1388880000,0,0
"Very creative, and little different. The story is mystery and fantasy. It ordinary and extraordinary. It feel a little like fairy tale.  I like the characters and enjoyed the book.",Lovely,1376352000,0,0
"Interesting read for a short story, but on an expected line. Surmise to say it was a worthy reading story.",Something,1360022400,0,0
"there are so many character bios at the beginning that instead of letting characters unfold naturally, their backstory was forced down our throats.  Had I bothered to read the other reviews I would have noticed that this is only the first half of the story, so now I am left with a bunch of questions and a fear that the second half will come out at a high price - any more than 99 cents and I doubt I will buy it!",is the book half empty or half full?,1310342400,2,2
"They both actually cheated on their fiance. Even though they were not thrilled of the arranged marriage.Ana and Eric both enjoyed being with their lover..not wanting the lover to know they were engaged.I enjoyed the book, the travel and tourism....a little adventure before the big wedding.",Escaping a royal wedding,1394668800,0,0
"What a very different slant the author comes from, clever. I had to laugh when this author bemoaned of his editing woes, I totally understand, that is why it's crucial to have outside editing help or who knows.....one may just start their own zombie outbreak. Haha. Good book. Very clever you are. A book worth attacking. Oh by the way, I HATED Nancy!!!!! You created her well.",Pretty good,1377993600,0,0
Enjoyed the friendship between Jim and Buck.  The romance between Jim and Pennie was also nice to see.  Once I started reading this book I did not want to put it down.  I will read more by this author.,Fun Read,1402876800,1,1
"What a fun read.  A couple of Geek theoretical physicists look through the wrong end of a radio telescope and discover  ---  a universe full of people!  A funny book that doesn't take itself too seriously -- OK, doesn't take itself at all seriously, and if you are a big sci fi fan, you will love this mini vacation from the deadly serious alien military invasions.  Just a great read.",Who Says Sci Fi Can't Be Funny,1394409600,1,1
"Smith is a fabulous writer, but in CHOKE ON YOUR LIES, he tries to do too many things at the same time. It begins with the protagonist, college professor Mick Thooft, seeking help from his old friend, the morbidly obese Octavia VanderPlatts, when his wife tries to cheat him out of his house (in a fashionable part of Minneapolis) in a divorce settlement. Pretty soon things get really complicated, but Octavia has a plan to solve Mick's problems while punishing his wife at the same time. Unfortunately, the portion of the novel doesn't deliver the great climax we were expecting because Smith is only half-finished at that point. Pretty soon there is a murder and other legal problems and once again Mick needs Octavia's help. Whereas Smith's superb novels YELLOW MEDICINE and HOTDOGGIN' are non-stop, well-done action, CHOKE ON YOUR LIES is a bit of a meandering mess. It definitely has its moments, and the characterization is good--with the notable exception of Mick, who is a bit of a wuss. Along the way, Smith shoehorns in too much other stuff, such as opinions about Minneapolis and Vietnamese food, and pretty much anything else that appeared to be on his mind, including name-dropping a few bands and songs.Still, there is enough going on here that I don't feel like I wasted my time. I look forward to reading Smith's other books that I have in my collection. But this one definitely could have use some strong editorial guidance.",2 Books in One! And Lots of Meandering.,1355961600,1,1
"I foundImplantto be gripping and interesting, and it kept me reading to the end. Some of the central ""stretches of reality"", such as the implant itself, were handled in a somewhat credible manner, much as is done in good science fiction. I found the characters consistent and the personalities distinct and well-developed. However, I draw the line at learning everything a person knows by eating his brain. This and a few similar things were unfortunate distractions, completely non-credible.","Good action and suspense, but unnecessary weirdness",1304121600,10,10
This was one of those fun reads that I luck upon every now and again where the characters are so gripping that I hope they are around for a long time to come. I actually read this story 2 times before leaving my review to be sure I had a good mental grip on everything within the words. This story has just enough darkness and evil without everything you read within being to over bearing.Enoch knows when he follows the beautiful woman from the bar that something is not right with this situation but instead of listening to his inner voice he continues  on the path that will lead him to.......  Well that is all I'm gonna say.Really enjoyable read and highly recommended.,Nothing Is Ever As It Seems,1366070400,1,1
Not too bad some good action.there was too much back and forth between the characters.alot of sexual talk that never amounted to much.,Wanted,1387411200,1,1
I'm a slow reader because I only get to read during my break ... the characters were beleaveable and the story had me looking forwards till my next break to read more... Can not wait to buy Wings in the Night Part 2 and if it ever comes out as a movie I'd love to see it :)All of Maggies's books in my collection are awesome loved every one of them.,Couldnt stop reading,1397692800,1,1
"The idea for the story is great. Christian creation written as fiction about a race of people that almost nothing is known about. I went into this really hoping for something better than I got...The biggest problem I had? I would be reading and, honestly, get so bored with it that I forgot what I was reading about. Don't let the sample fool you. The opening scene is pretty good and will hook you. It just drops off the cliff from there. (No pun intended)I read a later writing from Heppner titled Sword of Carthage and I can honestly say that his writing does get better.",Not what I expected,1354492800,2,2
"Classic. What else needs to be said. An adventure classic, you must remember when Verne was writing the world was a very different place.",Classic,1358208000,0,0
Good for a man interested in learning to knit. May  knit some of the items for a guy friend. EASY,Mainly man knit items,1366243200,0,0
"I feel this short, short-story could have been much more.  The concept had a great deal of promise. I don't believe it achieved its full potential.  On the upside, it did hold my attention.",Great Concept!,1304553600,0,0
"Too short, under informative. Since when does killing one person make you an assassin? Really it just makes your a murder. You aren't professional about it. This book was all over the place. Sadly I had my hopes up thinking that this was going to be a pretty good short story. So much for judging a book by its cover.I'm am glad this was free, many people would demand a refund for this.",assassin?,1338422400,0,0
"Josh Lanyon's novella ""The Dickens with Love"" is a story of love, redemption and holiday spirit that will both entertain and charm its readers. Basically, this is a Christmas story about a Christmas story; it is clever, well-written, and frequently humorous, and it captures the many facets of the holiday season. Within the pages of this story, we find Christmas cheer, seasonal depression, music both annoying and inspiring, fellowship and family, and that magical feeling of anticipation that comes no other time of the year.Lovers of Charles Dickens - actually book lovers, period - will find this to be a fascinating tale. What bibliophile doesn't dream of finding an undiscovered manuscript written by a master? Although the tale in question, ""The Christmas Cake"", doesn't exist, Mr. Lanyon has built up a solid story around it and has made its existence seem entirely plausible. He includes wonderful small excerpts from this fictional work, and although I cannot profess to be an expert on that author, these passages simply screamed ""Dickens"" at me. Of course, now I want to read The Christmas Cake, and it doesn't exist, darn it.Along with a very witty and well-paced narrative and an involving plot, Mr. Lanyon gives us a couple of almost irresistible main characters. First there is James Winter, the narrator of the story. There is no way that you cannot love this fellow, who is something of a loner and has a self-deprecating wit and a hint of sadness that will reel you right in to him. Then we have Sedgwick Crisparkle, great-great-great-grandson of Canon Crisparkle, a character in Charles Dickens' ""The Mystery of Edwin Drood."" He wears a stern demeanor like a mask, but under his many protective layers is a man who is has a lot of love to offer others.Mr. Lanyon has a way of making the reader feel the emotions of his characters. We laugh when they laugh, and we hurt when they do; we experience their ups and downs. During one memorable scene, Sedgwick calls James a whore in a fit of anger, and the effect is like a slap in the face. The overall effect that this had on me was that I became very invested in a happy ending for these characters.While ""The Dickens with Love"" is not a whodunit, Mr. Lanyon still incorporates an element of mystery to it as James investigates the Dickens manuscript and tries to untangle its background and origins. I found this process of discovery to be a very interesting and well executed addition to the story.  Overall, I truly enjoyed ""The Dickens with Love."" This story is smart, fun, and just plain entertaining, and I found reading to be an excellent way to usher in the holiday season.",an excellent way to usher in the holiday season,1260748800,19,19
"Sorry, hate the book.  It was too flowery and gushy for me. It did not appeal to me in anyway. I could write a book on why I didn't like.  There were others who did so maybe it was just me, found it too sappy!","Mushy, poetic and sappy",1356825600,0,0
"They weren't my type of inspirational quotes, but regardless it's still a good collection. A lot to look through, so I'm sure you'll find something!",Okay,1364601600,0,0
A different kind of book. Not quite what I expected. The book consists of several short stories that allow us a brief view into the narrator's (authors?) life as he grows both physically and emotionally. Each story seems to carry a hint of regret or apology for his actions. We all have things we regret from our youth. This seems to be somewhat of a purging or cleansing for the author. Interesting idea. I liked some of the stories more than others. I did enjoy the diversity of some of the stories.,Interesting Style,1317513600,0,0
"all the Heat books were enjoyable... but this hero was the best. love her strong fiesty heroines, too!",loved this hero!,1286496000,0,0
This was a short novella and it had good tempo! Bargaining with the devil sometimes makes strange bedfellows (no pun intended),Never say Never,1396656000,0,0
i wish that this book was listed as young adult.it was a freebie and that was nice.it held no interest for adult readers.,youngster's book,1304294400,5,5
"This book delves into the world of cults and the people involved with them. When an undercover agent goes missing in such a cult, his partner, psychologist Marilyn Michaelsen tries to find out the truth.The characters are well developed and although, some of the story is predictable, it still a page turner as we find out the truth behind ""Earthbound"" and it's leader. This book certainly grabs your attention.I received a complimentary copy of the book in exchange for my review.",The Prophet Motive,1318636800,12,12
"I wasn't able to finish reading this book. I tried to like it, but I found myself confused half the time.  You would go from you one scene in one location, to thee next scene in a different location, with little to no explanation as to how Alec and Samuel got their.  I also didn't understand how Samuel seemed to know so much about Egypt and the languages of small African tribes.  I mean come on.  What English Lord would know how to speak a language spoken by only small tribe in Africa that Europe probably didn't even know existed?  It didn't make sense, and no explantation was given.  I don't think I made it more than a quarter of the way through the book before I moved on to another of the hundreds of novels on my Kindle app.",Treasure of Egypt,1404691200,0,0
"It's BS, as any smoker will tell you. But Carr's holding the carrot out to the smoking crowd. But his little plan doesn't work...or didn't for me.",A Waste of Time.,1383782400,1,1
"This was a great addition to the BDB series. The love between Z and Bella was a classic love story, but adding Nalla to the mix just showed that love that we always knew that Z had. I wish J. R. Ward would add Nalla to the other books I would love to see her walking and getting all the love the Brothers have to give her.",A great addition to the series,1374019200,0,0
"this has to be one of the most boring, most dumb books I have ever read. Seriously,, this book was told back wards, it made no sense, it was dumb, boring, had not plot point or interest. Thank god it was only 99cents and even that was too expensive. It was just down right AWFUL slow and boring..",actually 0 stars..but that doesn't have an option,1358640000,0,0
Just getting into the Delver Magic series. Its an easy read and the story seems to move along quite quickly. Would like to see more depth in character development but its an interesting story.,Easy Read,1395273600,0,0
"On the whole, I liked the story. It makes sense, for the most part, and the characters are enjoyable. However, the editing is rather poor (hard to read at times), and I didn't like the love story's ending.",In Two Minds,1346112000,0,0
"I have to say, I have mixed feelings about this short. Although it initialy starts out interesting, it fades in and out as the story progresses.I would have liked to have seen a little more character developement, both in prisoner 392 and the other main characters. The warden would have been a great guy to spend more time on, but alas it was not to be.I really liked the writing style of this author though. It had great flow and the premise of the book was great. How he made such a narrow subject matter so interesting, shows what a great writer he is.I was a little disappointed in the ending, and thats what put me off the story. It seemed to be a rehash of a lot of other tales. The person wakes up. Its always an easy out ,for a writer. Tired of writing it? Just say the person was dreaming, and bam, the story is over. I think he could have made this into a great piece, but as is, its just okay.I will say for 99cents, you really do get a great deal.",Should have kept going with it. Could have been great,1318636800,0,0
"Not interesting, poorly written.  Laborious - not a good read.  Hard to get into and stay focussed.  Not recommending this author.  Not a good buy",The Master Falconer:,1384646400,0,0
"The original was apparently an alphabet primer. The file for this picture book lists the alphabet a few times, but has no pictures.",It has no pictures!,1302048000,20,20
"Call me Cupid by Sydney Somers is a fun, cute, fast read about second chances at love. Thanks to an interfering god, Eros, Copper and AJ have one, repeating day to rediscover their love for each other. I enjoyed this twist and loved how only Copper and AJ remembered the days events. Their journey showed them that they still had feelings and no matter how long it takes, love doesn't give up. With three little words, their future was changed.",Repeat Until Done,1390608000,0,0
"I'm two for two.  Volume 1 was great.  Volume two is a bit different, but very good.  Told in a different way... You know who did it. The story is in how they're caught.",Winner,1371168000,1,1
The premise was good but I am just not interested in the drama of teenage angst and how they deal with friends enemies and the supernatural.,Ethereal,1354060800,0,0
I just discovered this author and she is wonderful. There's some NASCAR with a feisty female driver and a really hot Dom acting as her protector (among other things) ;-)I really enjoyed this well-written novella. My only complaint was that it ended too soon.,What's Not To Love?,1344816000,2,2
I really enjoyed Ms. Miller's book. I love shapeshifter stories and this was one of the best I've read. I've read all three books in the series and recommend all of them.,Great start to a series!,1345507200,1,1
I RATED THIS BOOK THE LOWEST LOWEST  BECAUSE  OF THE LANGUAGE  AND THE SEXUAL NATURE. I FEEL ONE CAN WRITE A GOOD STORY WITH OUT THOSE THINGS ION IT.,A good story BUT,1365033600,0,0
This book shows how some times spicing up ones marriage can make all the difference in the world. I'm glad I read this book.,Yippppeeee,1362182400,0,0
"This book is about a spiritual battle between good and the evil trying to take over, prophesies to be fulfilled and learning to have true faith.  There are angels, demons, warrior priests, fallen angels and a young boy born with special powers to save the world.  Ethan's confusion as he learns about himself and his unique abilities make you care for him. His alternating youthful over-confidence and insecurity as he is thrown into a world far beyond anything he is prepared for forces him to look beyond himself for help. As he grows spiritually, he learns that his strengths come from faith in a higher power.From the moment you pick up the book, the author draws you right in with good character development, a great storyline, lots of sub-plots.  Still, it flows quickly and smoothly, without getting bogged down in the details.  There was no need for overly-graphic scenes, making the book appropriate for all readers!  The ending was perfect to leave you wanting to read more, leading you into the next book in the trilogy!  The worst thing I can say about the book was that it wasn't at LEAST 300 pages longer!Great work, as are all of the books I have read by Mr. Somers!",Extremely well-written!,1256083200,29,29
"I didn't expect to write a review of this book.  I read a lot of books, way too many to do reviews for all of them, so I generally only write reviews if they were exceptionally good or really bad.  I don't want to take the time to review an average book.  And this one should have been average.  It reminded me of an 80's Harlequin, with Yanis, rich and powerful, dominating Lee throughout most of the book.  I was ok with that because I was in the mood for a ""mean"" hero and I thought the storyline flowed pretty well.  I noticed in reviews of her other books that people complained about grammatical errors.  There were plenty of those, but if the story is good enough I don't mind overlooking them.What I couldn't overlook was the overuse of the word ""had"".  By the middle of the book it was to the point that I couldn't even concentrate on the story because ""had"" kept jumping out at me.  Sometimes several in one sentence.  Out of curiosity I counted them once and there were 16 just on one page.  So I basically just skimmed the last half of the book because it was too painful plowing through the ""hads"".  But the story itself was good enough that I wanted to see how it ended.If not for all of the ""hads"" throughout the book I would have given it 3 stars.  It's a nice average story.  I got Kidnapped the Wrong Sister by this author because it was free and I'm sure I'll read it, but I noticed one of the reviews for that book also mentioned that had was overused, so it's obviously a trend.  That's too bad because her books have a lot of potential.  I don't think I will pay for any more of her books though.","Had, had, had, had enough",1354838400,1,1
I loved this book! I could not it down! Now I am dying for the second one to come out :),AWESOME BOOK,1300147200,0,0
I didn't realize this was a short read so was very disappointed.  The writing was more Hollywood than true crime and I was hugely disappointed.  It gave me something read while waiting for a true crime to be released.  Would not recommend unless you are desperate as I was.,Short read,1392940800,0,0
"Very, very funny, with the clever twist of having intelligent trolls that are a part of a functioning society.  My wife (whose Amazon account I am hacking since I do not have one of my own) starting downloading Tuttle's books on the Kindle and we are both in the process of flying through the entire catalogue.  This is one of the funnier books that I have read in a long time, set in a fantasy world that does not conform to the normal archetypes of the various creatures normally found in such worlds.  Get this story and enjoy it.",Intelligent Trolls!?!,1271635200,4,4
"I have really enjoyed this series. This is the second book in the Rachel Myers series. I am familiar with the setting even though Ms. Jackson slightly changes the names of the towns. I like the way the author tells a story. Each book flows into the next one- so be sure to read them in order. In this book, Rachel's lifelong friend Isaac has her investigate the death of his friend. Isaac knew his friend was afraid of heights and that he would never get that close to the edge of the overlook. So Rachel starts investigating with her logical mind she is soon able to find out what really happened. If you like mountains, cozy mysteries, horses and plants, you will not be disappointed with this series.",Parkway Murder,1338595200,2,2
"this was another freebee and I did enjoy it. I liked the feisty Sophie and how she managed her toad of a husband. I also liked the toad of a husband who believed himself wronged. He,  was a really bully, I don't like bullies. But he did have some redeeming qualities",Good Book,1368489600,1,1
I'd never read any of the Amy Brewster mysteries until this one..  So I am really hooked on them now.,I really liked it.,1392768000,1,1
"Can't say I've subscribed yet, but I have picked up an occasional issue of Reader's Digest on the Kindle.  It's a good mix of light feature pieces (an entertaining profile of actor Pierce Brosnan was a good read) and long, detailed investigative articles (good one on the airline industry in the same issue).  You also get actual captioned cartoons (a rarity on the Kindle!) and other fun elements.You also get another bonus.  If there's one criticism I have of Kindle blogs and magazines, it's visual sameness.  The New York Times looks like Newsweek which looks like The Philadelphia Inquirer, etc.  But Reader's Digest on the Kindle looks like, well... Reader's Digest.  You get the sharp, catchy graphics of the print edition (with the headline and sub-headlines of a story often embedded within the main photo just like in the regular magazine), and other pieces of visual flair- like the cartoons mentioned earlier- carried over from the magazine, too.  I guess it's a small point (as content is really the most important thing), but it's nice seeing a Kindle magazine that looks truly different from other Kindle magazines.  With luck this will be the beginning of a trend.But, yeah, give an issue a shot.  Even if you usually read weightier fare on your Kindle, you may just find the content and visual flair of Reader's Digest on the Kindle to be an occasional refreshing change.Note: Amazon frequently updates the presentation and functionality of Kindle blogs and periodicals, so as this review gets older, it may no longer accurately describe the current version of this product.","Engaging material, with graphics that stand out",1217980800,68,68
Great series and a great . She really keeps you wanting to read more and more. I have a hard time putting the books down once I start them.,Love these books!,1374624000,0,0
"This is just one more of the fast paced short mystery novels that I have read by this author in the Rachael Myers Mystery series.  Actually, I'm pretty sure that I have now read them all.  I like the main characters and am always anxious to learn what murder or suspense Rachael is involved with.  I think it was the second one of this series that I read.  Good and quick read.",Mountain Mourning (Rachael Myers Murder Mysteries),1347408000,2,2
"Hot fun in the Summertime was a cute read. It was my first read by this author, but won't be the last. I liked the dynamics of the seven housemates and chemistry between them. It showed that everybody really can't live together. However, it was a little slow, and sometimes I couldn't tell who was saying what, not a lot in the romance department either, but it didn't take a lot away from the story. I will read the follow up to Devon and Shontae.",Good Read,1355097600,0,0
I'm a big fan of Lora Leigh's stories.  Her characters are so real that you feel like you know them.,Wolf's Hope,1365033600,0,0
"I read a sample of the book and it seemed to start out okay.  Not really one I would have picked to read if in a book store, but okay.",Neither super great or super terrible.,1394236800,0,0
"This is a nice little read, and it's at a great price.  :O)Jim gets an e-mail from someone he went to school with and she thinks someone is stalking her, and has sent her threatening e-mails. She contacts Jim for help, but before he can respond, she's killed.  He feels he needs to find out who killed her, and why. As the story unfolds, Jim learns that someone is killing people from his High School, and he has to find out who the other targets are and why.  Jim soon finds a connection, then the killer sets his sights on Jim.I really liked the characters of Jim and his biker friend, Buck. They both seem down to earth and life life. This also has other wonderful characters.I really liked the writing style. The author has a nice style that keep the story moving at a steady pace and not to much fluff.",A nice lil read!,1323388800,1,1
"Good fiction.  It saddens me that so many bright knowledgable people have invested so heavily in theories that seem to be lackingNon-theoretical evidence .  So much has been invested, both financially and intellectually, that it is impossible for many to step back and re-evaluate the climate change issue.  Be it cooling where warming was predicted, or a full host of other inconsistent data, folks hold on to the sacred mantra of global warming.  Mother earth is ,more complex  than those with a political agenda.Too much prestige, too much integrity has been sacrificed.  Tot say nothing of the financial and political will expended.Is some type of climate change occurring? Most likely.  Can we predict the outcome or change the course?  Highly unlikely .While some preach to the masses about the sacrafice they must make.  They go home to their decidedly unenviromental mansions, in their gulf stream-III's, and snicker about stories they tell the idealistic college students and intelligencia, and get paid for it!  Billions have been made by people who could care less about the climate. And we almost elected one President..... Still, in all, a good read if not taken too seriously.",2084.,1302307200,21,21
"I really liked the idea of this story, but I was unable to read it to find out if there was anything to it.  It started out very choppy, completely confusing, and just plain not readable. I removed it from my Kindle a little bit into the second chapter.The story starts with a lady burning a barn with animals in it. There are names of people that you have no idea who they are, and there is a thing that I think was supposed to be a ghost, but you don't get clarification on that either. The second chapter starts with more people that you don't know, and goes into attempting to kill an unborn child. At that point I quit. I did not know who or what was happening, and quite honestly I did not care to find out.Sorry to be harsh, but this was not something that I could even pretend to like.  I don't want to read about the smell of burning cows or the poisoning of pregnant ladies.  Great idea; crappy, confusing, gross and harsh presentation.",Removed it from my Kindle after about a chapter and a half,1315267200,2,2
